text,cleaned text
"“I grew up in an era where people were shooting drugs. So for me, needles were taboo. I'm supposed to take [insulin] with me. I don't even carry it… I'd rather go home. I don't care if I'm [away from home]. I'll go home to inject myself and go back [out].”","I grew up in an era where people were shooting drugs. So for me, needles were taboo. Im supposed to take [insulin] with me. I dont even carry it… Id rather go home. I dont care if Im [away from home]. Ill go home to inject myself and go back [out]."
"“I got one coworker [who says], 'You know you're not supposed to have that. Don't give her that.' That's annoying.”","I got one coworker [who says], You know youre not supposed to have that. Dont give her that. Thats annoying."
"“When I eat something right away I worry [that] I'm eating the wrong thing, my sugar's going to be up, I'm hurting myself. What is it doing? Is it causing nerve damage right now? Is it in the future going to do something?”","When I eat something right away I worry [that] Im eating the wrong thing, my sugars going to be up, Im hurting myself. What is it doing? Is it causing nerve damage right now? Is it in the future going to do something?"
"""I don’t want to have to inject in front of them [strangers]. I think people do still find it a bit strange. It’s not heroin but it’s still a bit odd.""",I don’t want to have to inject in front of them [strangers]. I think people do still find it a bit strange. It’s not heroin but it’s still a bit odd.
"People can see it, I think that’s the worst thing ","People can see it, I think that’s the worst thing "
"""All my friends are on Facebook and I don’t want them to see that I have diabetes. Other people are probably like, ‘I don’t care if people see I have diabetes’. That’s why I wouldn’t join those groups [support groups]. With me, half the people I’m liking on Facebook wouldn’t have a clue that I have it.""","All my friends are on Facebook and I don’t want them to see that I have diabetes. Other people are probably like, ‘I don’t care if people see I have diabetes’. That’s why I wouldn’t join those groups [support groups]. With me, half the people I’m liking on Facebook wouldn’t have a clue that I have it."
It is kind of hard with working. You don’t want to be taking out a diary and writing down and people looking at you. I feel a bit uncomfortable. I don’t know the people that well inside there. In a new work environment I’d feel a bit uncomfortable. In my old work I would have cared less. I would have gone off and sat down for as long as I needed ,It is kind of hard with working. You don’t want to be taking out a diary and writing down and people looking at you. I feel a bit uncomfortable. I don’t know the people that well inside there. In a new work environment I’d feel a bit uncomfortable. In my old work I would have cared less. I would have gone off and sat down for as long as I needed 
"That’s something that drives me crazy, Type 1 and 2 diabetes. It makes me so annoyed. Type 1 diabetes, you don’t get it because you’re overweight. People are like, ‘oh which kind do you have? Do you have the really bad kind?’ I’m like, ‘what do you mean by that?’ Or they’re like, ‘oh I’m sorry, did you eat too many sweets?’ Of course that’s why I have it","That’s something that drives me crazy, Type 1 and 2 diabetes. It makes me so annoyed. Type 1 diabetes, you don’t get it because you’re overweight. People are like, ‘oh which kind do you have? Do you have the really bad kind?’ I’m like, ‘what do you mean by that?’ Or they’re like, ‘oh I’m sorry, did you eat too many sweets?’ Of course that’s why I have it"
We didn’t bring diabetes on ourselves. We didn’t have a choice. The majority of Type 2 s have a choice and they chose not to do what they should be doing. You feel like you’re branded with the same brush as them ,We didn’t bring diabetes on ourselves. We didn’t have a choice. The majority of Type 2 s have a choice and they chose not to do what they should be doing. You feel like you’re branded with the same brush as them 
I really do think that Type 1 gets left behind. Even yesterday was world diabetes day and on the news it was all oh ‘if you improve your lifestyle and if you do this and that’ you improve your risk and I’m there shouting ‘this is Type 2 diabetes’!,I really do think that Type 1 gets left behind. Even yesterday was world diabetes day and on the news it was all oh ‘if you improve your lifestyle and if you do this and that’ you improve your risk and I’m there shouting ‘this is Type 2 diabetes’!
I hadn’t drank for years because I didn’t know how with the diabetes. I didn’t go to festivals with my friends because I didn’t know what would happen with my diabetes there ,I hadn’t drank for years because I didn’t know how with the diabetes. I didn’t go to festivals with my friends because I didn’t know what would happen with my diabetes there 
"No one understood how frustrating it can be sometimes when you’re doing your damndest to get it right and it’s not working. Because it’s your health on the line, it can be very upsetting ","No one understood how frustrating it can be sometimes when you’re doing your damndest to get it right and it’s not working. Because it’s your health on the line, it can be very upsetting "
I felt guilty because I knew I should have been stricter than I was. It was my own fault for my levels being high ,I felt guilty because I knew I should have been stricter than I was. It was my own fault for my levels being high 
"People like, articles and news reports tend to go with worse case scenarios and it’s scary. There are sometimes when I do get stressed out about it. There was one programme and they had some poor guy and he lost half a foot. I was like ‘Jesus Christ’. Then there was some poor woman and while they were filming it she died. I was like ‘holy crap’. It was very extreme. I don’t want to be told that by the time I get to 60 I’m going to have one leg and be blind. ","People like, articles and news reports tend to go with worse case scenarios and it’s scary. There are sometimes when I do get stressed out about it. There was one programme and they had some poor guy and he lost half a foot. I was like ‘Jesus Christ’. Then there was some poor woman and while they were filming it she died. I was like ‘holy crap’. It was very extreme. I don’t want to be told that by the time I get to 60 I’m going to have one leg and be blind. "
You go in and see the registrar and they don’t know who you are. You don’t feel open or comfortable talking to him about how you’re getting on. I think seeing the same person helps big time (,You go in and see the registrar and they don’t know who you are. You don’t feel open or comfortable talking to him about how you’re getting on. I think seeing the same person helps big time (
There was one or two doctors that made flying visits in and out and didn’t really treat you like a patient. It was more like you’re a file. They just have a quick look at the file and look at numbers without discussing any of the issues with you,There was one or two doctors that made flying visits in and out and didn’t really treat you like a patient. It was more like you’re a file. They just have a quick look at the file and look at numbers without discussing any of the issues with you
"I went on holidays in August and my aunt texted me to say there was an article in the Irish Times to say diabetics shouldn’t wear sandals because of the risk to their feet. I was like, have a bit of common sense. I was so annoyed over that. I was like, have a bit of tact","I went on holidays in August and my aunt texted me to say there was an article in the Irish Times to say diabetics shouldn’t wear sandals because of the risk to their feet. I was like, have a bit of common sense. I was so annoyed over that. I was like, have a bit of tact"
"I just get anxious and over think things. At the weekend it would be like, I kind of spend most of the day in bed. Just because I skip meals and then sometimes I just go out and buy junk and stay in my room. I could go home to my family but then I end up getting stressed out down there. Just anxiety and stress ","I just get anxious and over think things. At the weekend it would be like, I kind of spend most of the day in bed. Just because I skip meals and then sometimes I just go out and buy junk and stay in my room. I could go home to my family but then I end up getting stressed out down there. Just anxiety and stress "
"“They know I’m diabetic, but that’s it, they never asked anything about it or what to do.”","They know I’m diabetic, but that’s it, they never asked anything about it or what to do."
"“At work I get lots of ‘well why do you need to go now (to doctor or hospital) can’t you do it after work, why can’t you do it on your day off (Sunday) ”","At work I get lots of ‘well why do you need to go now (to doctor or hospital) can’t you do it after work, why can’t you do it on your day off (Sunday) "
"“I went to work after a hypo and they (colleagues) said ‘Cor, you look rubbish’, ‘Cor you look ill have you been drinking?’ and you just want to be left alone to get back to normal. People who don’t understand, umm, I find come up with statements like ooh you shouldn’t be eating that should you? cos it’s got sugar in.” ","I went to work after a hypo and they (colleagues) said ‘Cor, you look rubbish’, ‘Cor you look ill have you been drinking?’ and you just want to be left alone to get back to normal. People who don’t understand, umm, I find come up with statements like ooh you shouldn’t be eating that should you? cos it’s got sugar in. "
"“I worked with a very bigoted woman who didn’t want me to do my pen injections at my desk… She wanted me to go into the toilets and do it and I fought my corner and said ‘Actually, no – a sterile piece of medical equipment that I’m trying to put into me, in a really stinky, unhygienic toilet?” ","I worked with a very bigoted woman who didn’t want me to do my pen injections at my desk… She wanted me to go into the toilets and do it and I fought my corner and said ‘Actually, no – a sterile piece of medical equipment that I’m trying to put into me, in a really stinky, unhygienic toilet? "
"“If I say to people, ‘oh, I've also got type 2 diabetes now’, I feel that I'd be judged because they would feel that ‘well it's obvious because you can see that she gained weight’…”","If I say to people, ‘oh, Ive also got type 2 diabetes now’, I feel that Id be judged because they would feel that ‘well its obvious because you can see that she gained weight’…"
"“People just think, well, you know…You must have done something wrong; but you think yourself, I've done everything right and I've still got it, then is there some other factor that contributed towards it? That's what it is.”","People just think, well, you know…You must have done something wrong; but you think yourself, Ive done everything right and Ive still got it, then is there some other factor that contributed towards it? Thats what it is."
"“There is almost a label attached to the diagnosis, that you don't look after yourself and eat the wrong things, which really is not the case.”","There is almost a label attached to the diagnosis, that you dont look after yourself and eat the wrong things, which really is not the case."
"“You know, if you ever say to people, you've got it [type 2 diabetes], there's this kind of, um… we talk about all the sort of stigmas and the discrimination that's out there. I think there's an unspoken discrimination of people that are obese.”","You know, if you ever say to people, youve got it [type 2 diabetes], theres this kind of, um… we talk about all the sort of stigmas and the discrimination thats out there. I think theres an unspoken discrimination of people that are obese."
"“Another impact is dealing with the stereotypical assumptions people make once they find out you're not a “real diabetic” this makes me feel so annoyed. I didn't set out to give myself diabetes, unfortunately it chooses me.” ","Another impact is dealing with the stereotypical assumptions people make once they find out youre not a real diabetic this makes me feel so annoyed. I didnt set out to give myself diabetes, unfortunately it chooses me. "
"“There's also the day to day, sort of, ‘you've done this to yourself…because it's one of those- ‘it's your own fault’…”","Theres also the day to day, sort of, ‘youve done this to yourself…because its one of those- ‘its your own fault’…"
" “I think I told a couple of close friends, but I was really ashamed because there is that whole sort of ‘you're very young to be getting this,’ so I didn't tell many people."," I think I told a couple of close friends, but I was really ashamed because there is that whole sort of ‘youre very young to be getting this,’ so I didnt tell many people."
 “Isolation is an issue as I feel unable to engage in the same social activities as my friends.” , Isolation is an issue as I feel unable to engage in the same social activities as my friends. 
“I have struggled to value myself in the same way after being diagnosed with this condition [type 2 diabetes]. I have not been able to find a secure relationship since and feel lonely.”,I have struggled to value myself in the same way after being diagnosed with this condition [type 2 diabetes]. I have not been able to find a secure relationship since and feel lonely.
"“My practice nurse I found her patronising. She keeps saying “No you have to do it this way! to do it this way!” not understanding that you know, the way I am eating. I've been doing it for my life, and it [diabetes] changed all what I do, the way I function. She just thinks it's easy to stop eating. If I try and explain she doesn't want to listen to me.”","My practice nurse I found her patronising. She keeps saying No you have to do it this way! to do it this way! not understanding that you know, the way I am eating. Ive been doing it for my life, and it [diabetes] changed all what I do, the way I function. She just thinks its easy to stop eating. If I try and explain she doesnt want to listen to me."
"“If your sugar goes high, they won't say: “Yeah, I'll work with you. Let's see why it's high. Because it was low last time.” They will say to you, here you go have an extra tablet.”","If your sugar goes high, they wont say: Yeah, Ill work with you. Lets see why its high. Because it was low last time. They will say to you, here you go have an extra tablet."
" “It didn't matter how many times I said “this doesn't help, this doesn't work for me”. It was sort of ignored… So, listening. Because every time I went, they would tell me, you know, “oh, just carry on taking it [medication], it's good, it's fine”, and nobody listened, and I ended up just not taking it.”"," It didnt matter how many times I said this doesnt help, this doesnt work for me. It was sort of ignored… So, listening. Because every time I went, they would tell me, you know, oh, just carry on taking it [medication], its good, its fine, and nobody listened, and I ended up just not taking it."
“My diabetes nurse and diabetes midwife were too focused on my diabetes rather than my mental well-being and did not offer much support.”,My diabetes nurse and diabetes midwife were too focused on my diabetes rather than my mental well-being and did not offer much support.
" “I think the way the doctor told me—it wasn't even like, ‘sit down, we need to have a chat about your latest results’. It was almost like, ‘oh, by the way, you know you're diabetic now, right?’ I don't think it was very sensitively handled.”"," I think the way the doctor told me—it wasnt even like, ‘sit down, we need to have a chat about your latest results’. It was almost like, ‘oh, by the way, you know youre diabetic now, right?’ I dont think it was very sensitively handled."
"“So just, with sensitivity…Like with gentleness, and with an understanding that the person you're telling is probably going to find that quite distressing. Whereas I think a lot of the doctors I've spoken to have been very blunt, and have not really taken into account that, you know, it's scary for people.”","So just, with sensitivity…Like with gentleness, and with an understanding that the person youre telling is probably going to find that quite distressing. Whereas I think a lot of the doctors Ive spoken to have been very blunt, and have not really taken into account that, you know, its scary for people."
"Usually people say, oh, you must have had a bad lifestyle, something or whatever, which may be true sometimes, but it’s not the only reason, so...","Usually people say, oh, you must have had a bad lifestyle, something or whatever, which may be true sometimes, but it’s not the only reason, so..."
"You know, and again, they took me off shifts, because I couldn’t remember if I’d taken my pills one week, you know? One week, I’m working early and next week, I’m working late, and then I’m working nights, and I used to go, I can’t remember if I’ve taken them or not. My manager said, that’s no use, is it?","You know, and again, they took me off shifts, because I couldn’t remember if I’d taken my pills one week, you know? One week, I’m working early and next week, I’m working late, and then I’m working nights, and I used to go, I can’t remember if I’ve taken them or not. My manager said, that’s no use, is it?"
"Because we're talking about food; I mean, I go to my family, and when I say I can't eat that food, they usually think that's disrespecting them, so you've got all that as well to deal with.","Because were talking about food; I mean, I go to my family, and when I say I cant eat that food, they usually think thats disrespecting them, so youve got all that as well to deal with."
"I'm asked that, once a year, that question, do you feel depressed? Yes. Next question. It’s not like, what are you going to do about it? And when I see the nurse, every six months, she just says, are you exercising? And she ticks a little box if I say yes or no. And that’s it.","Im asked that, once a year, that question, do you feel depressed? Yes. Next question. It’s not like, what are you going to do about it? And when I see the nurse, every six months, she just says, are you exercising? And she ticks a little box if I say yes or no. And that’s it."
"I remember somebody saying to me, “Well, do you think it’s ‘cause you probably drank too much?”","I remember somebody saying to me, Well, do you think it’s ‘cause you probably drank too much?"
"...people think you’re a druggy....I remember doing it [injecting insulin],... in a council office, I was doing consultancy work and my director at the time said, “You shouldn’t be dong that here...”","...people think you’re a druggy....I remember doing it [injecting insulin],... in a council office, I was doing consultancy work and my director at the time said, You shouldn’t be dong that here..."
"...all the publicity around type 2 is entirely negative, so people think A), that I must have brought it on myself, (...) people assume that you’re not exercising and they start lecturing you about that","...all the publicity around type 2 is entirely negative, so people think A), that I must have brought it on myself, (...) people assume that you’re not exercising and they start lecturing you about that"
"There are two types of diabetes, there’s the fat greedy type and then there’s the type I’ve got … their diabetes could be prevented but ours could not.","There are two types of diabetes, there’s the fat greedy type and then there’s the type I’ve got … their diabetes could be prevented but ours could not."
"I get that it’s making fun of the high sugar/calorie content of the food, but as a type 2 diabetic I wish I hadn’t been so flippant about foods that I ate”","I get that it’s making fun of the high sugar/calorie content of the food, but as a type 2 diabetic I wish I hadn’t been so flippant about foods that I ate"
You get these sorta comments a lot these days unfortunately and I just smile and joke along. You know they don’t mean anything by it and hopefully understand it takes more than a few high sugary meals to get diabetes.,You get these sorta comments a lot these days unfortunately and I just smile and joke along. You know they don’t mean anything by it and hopefully understand it takes more than a few high sugary meals to get diabetes.
“Those with type 2 ‘brought it on themselves’ in a way because of poor lifestyle and diet choices.”,Those with type 2 ‘brought it on themselves’ in a way because of poor lifestyle and diet choices.
“I have a small stigma against people with type 2 diabetes because I usually think it is self-inflicted.”,I have a small stigma against people with type 2 diabetes because I usually think it is self-inflicted.
“There is an association (whether warranted or not) with personal responsibility (or lack-thereof).”,There is an association (whether warranted or not) with personal responsibility (or lack-thereof).
"“For individuals with type 2 diabetes, who, for variety of reasons fail to manage or prevent their condition: yes, I see them as weak willed and lazy. I know that there are socioeconomic and educational barriers that propagate this condition in these people, but even so, I can’t ‘drink the Koolaid’ and look at these patients solely as victims of circumstances entirely out of their control.”","For individuals with type 2 diabetes, who, for variety of reasons fail to manage or prevent their condition: yes, I see them as weak willed and lazy. I know that there are socioeconomic and educational barriers that propagate this condition in these people, but even so, I can’t ‘drink the Koolaid’ and look at these patients solely as victims of circumstances entirely out of their control."
"“I find I have a stigma against some people with type 2 diabetes because they could have prevented the disease on their own with lifestyle changes. It’s harder for me to feel as empathetic towards them, but I have to remember their life circumstances such as education, access to food, how they were raised, etc.” ","I find I have a stigma against some people with type 2 diabetes because they could have prevented the disease on their own with lifestyle changes. It’s harder for me to feel as empathetic towards them, but I have to remember their life circumstances such as education, access to food, how they were raised, etc. "
"“I do judge the people that develop diabetes later in life because of poor lifestyle and eating habits. I see this as a lack of concern for their own well-being. In general, I find obesity and those who let themselves gain ridiculous amounts of weight to be disgusting.” ","I do judge the people that develop diabetes later in life because of poor lifestyle and eating habits. I see this as a lack of concern for their own well-being. In general, I find obesity and those who let themselves gain ridiculous amounts of weight to be disgusting. "
“I do not have as much sympathy for those who struggle with type 2 if they refuse to put together a good health plan for themselves.” ,I do not have as much sympathy for those who struggle with type 2 if they refuse to put together a good health plan for themselves. 
"“it’s still hard for me to relate it . . . . I’m playing a big part in why I still have it, and it’s not better managed.”","it’s still hard for me to relate it . . . . I’m playing a big part in why I still have it, and it’s not better managed."
"“It’s all me. It’s all my doing. It’s not nothing nobody else is doing . . . . It’s me, all my fault.”","It’s all me. It’s all my doing. It’s not nothing nobody else is doing . . . . It’s me, all my fault."
"There’s been times in the past . . . where I look at it and go, ‘You really suck,’","There’s been times in the past . . . where I look at it and go, ‘You really suck,’"
 “because I would be too ashamed and scared. I don’t know. He would reprimand me or something . . . . Because I know I did something wrong. I just don’t want to hear it.”, because I would be too ashamed and scared. I don’t know. He would reprimand me or something . . . . Because I know I did something wrong. I just don’t want to hear it.
"“When there’s no acknowledgment of me as a real person, with real issues and real problems, it makes me feel like I don’t count for anything. I mean it’s my body, it’s my health, it’s all about me, personally. And, yet, doctors try to make it very impersonal, maybe because they need to protect themselves emotionally, but meanwhile what it does is make me feel like I don’t matter and my health doesn’t matter.”","When there’s no acknowledgment of me as a real person, with real issues and real problems, it makes me feel like I don’t count for anything. I mean it’s my body, it’s my health, it’s all about me, personally. And, yet, doctors try to make it very impersonal, maybe because they need to protect themselves emotionally, but meanwhile what it does is make me feel like I don’t matter and my health doesn’t matter."
‘don't be too clever – people won't like you’; ‘take your insulin properly – otherwise you make me upset and I worry about you’; ‘you'll go blind – if you don't control your glucose properly’; ‘I know I'm a bad diabetic’.,‘dont be too clever – people wont like you’; ‘take your insulin properly – otherwise you make me upset and I worry about you’; ‘youll go blind – if you dont control your glucose properly’; ‘I know Im a bad diabetic’.
"‘Ah yes, you're the diabetic,’ ","‘Ah yes, youre the diabetic,’ "
…this is not the body I had…I had heavy weight…so when I found my body weight decreasing day after day…I thought I had HIV/AIDS…actually many other people thought so as well.,…this is not the body I had…I had heavy weight…so when I found my body weight decreasing day after day…I thought I had HIV/AIDS…actually many other people thought so as well.
…I have to gain some weight to remove that stigma and show them I am well.,…I have to gain some weight to remove that stigma and show them I am well.
That time I had fear going out of the house as my weight was decreasing and fear of people talking about me. I myself had heard one individual telling his friend about me having ‘drawn’ the joker (contracting AIDS). Thereafter I stopped mixing with people.,That time I had fear going out of the house as my weight was decreasing and fear of people talking about me. I myself had heard one individual telling his friend about me having ‘drawn’ the joker (contracting AIDS). Thereafter I stopped mixing with people.
"‘And even at home, you are judged by your disease. So you see I stay alone and they always used to ask me, why would you stay alone when you are diabetic…because I do not want to be judged for my disease’.","‘And even at home, you are judged by your disease. So you see I stay alone and they always used to ask me, why would you stay alone when you are diabetic…because I do not want to be judged for my disease’."
"‘Some feel that it's a death panel. They are still whispering about someone having the diabetes, saying that your legs are going to be cut and all sorts of things. I think that one of the elements contributing to us feeling scared of the diseases and try to hide it.’","‘Some feel that its a death panel. They are still whispering about someone having the diabetes, saying that your legs are going to be cut and all sorts of things. I think that one of the elements contributing to us feeling scared of the diseases and try to hide it.’"
"‘When they are told about diabetes, some parents think that we are already at the end of life and therefore that spending on drugs may be useless’.","‘When they are told about diabetes, some parents think that we are already at the end of life and therefore that spending on drugs may be useless’."
"‘When you say you are hypertensive, it does not bother anyone. However, when you say you have diabetes, it is as if you will die tomorrow. You no longer have the support of the family’.","‘When you say you are hypertensive, it does not bother anyone. However, when you say you have diabetes, it is as if you will die tomorrow. You no longer have the support of the family’."
"‘I know it is a disease. However, to say that I have diabetes is like trying to give myself a name. I know I have diabetes, but I do not want to be told that I have diabetes’.","‘I know it is a disease. However, to say that I have diabetes is like trying to give myself a name. I know I have diabetes, but I do not want to be told that I have diabetes’."
‘I think stigmatization too; you come and then….some people don't even want to come for consultation. They don't want people to know that they are diabetic. They rather rely on over the counter medication’.,‘I think stigmatization too; you come and then….some people dont even want to come for consultation. They dont want people to know that they are diabetic. They rather rely on over the counter medication’.
"‘At my place of work, there was an individual who didn't tell us about his illness as if it were something wicked and we heard about his admission to a hospital. Even he did not reveal about his illness to his wife. Anyway, his new shoe led to toe amputation and his leg after that. After that he lost hope, got weak and then it was all over.’","‘At my place of work, there was an individual who didnt tell us about his illness as if it were something wicked and we heard about his admission to a hospital. Even he did not reveal about his illness to his wife. Anyway, his new shoe led to toe amputation and his leg after that. After that he lost hope, got weak and then it was all over.’"
‘My weight was 90 kg when I was less than 35 years old. I have lost more than 10 kg as part of my treatment. People now perceive me as someone that is suffering from AIDS. This is affecting my personality. I have to gain some weight to remove that stigma and show them I am well’.,‘My weight was 90 kg when I was less than 35 years old. I have lost more than 10 kg as part of my treatment. People now perceive me as someone that is suffering from AIDS. This is affecting my personality. I have to gain some weight to remove that stigma and show them I am well’.
"The stereotype part is that you are an unhealthy person, generally. So your lifestyle is unhealthy and that's caused you to have gestational diabetes… Probably the same stereotypes they have for people with type 2 diabetes… And that kind of moral implication of gluttony and sloth.","The stereotype part is that you are an unhealthy person, generally. So your lifestyle is unhealthy and thats caused you to have gestational diabetes… Probably the same stereotypes they have for people with type 2 diabetes… And that kind of moral implication of gluttony and sloth."
"The stigma is it's self-induced or like you're the reason why you've done it.… They think oh you caused it, and mostly you can change it…","The stigma is its self-induced or like youre the reason why youve done it.… They think oh you caused it, and mostly you can change it…"
"I think there is a stereotype that it just comes and goes. So everyone take(s) it [GDM] very casually… After your delivery you will be fine. But with type 2, I feel like there is a much more serious concern.","I think there is a stereotype that it just comes and goes. So everyone take(s) it [GDM] very casually… After your delivery you will be fine. But with type 2, I feel like there is a much more serious concern."
"It's almost like your pregnancy's different to—yeah, almost like you're in a different category to the woman over there that's completely healthy, and it is almost like ‘Oh, she's got a healthy pregnancy’, whereas you're not because you've got gestational diabetes.","Its almost like your pregnancys different to—yeah, almost like youre in a different category to the woman over there thats completely healthy, and it is almost like ‘Oh, shes got a healthy pregnancy’, whereas youre not because youve got gestational diabetes."
"That the public just see—if you've got gestational diabetes, you're overweight, you're unfit, you're not looking after yourself, you're not thinking about the health of your baby.","That the public just see—if youve got gestational diabetes, youre overweight, youre unfit, youre not looking after yourself, youre not thinking about the health of your baby."
"I understand it from a logical standpoint of like okay, we want to have healthy babies and healthy mums obviously. But just, I think initially, with that diagnosis process where you feel like oh God, I've done something terrible to end up with this.","I understand it from a logical standpoint of like okay, we want to have healthy babies and healthy mums obviously. But just, I think initially, with that diagnosis process where you feel like oh God, Ive done something terrible to end up with this."
"That whole image of people being unhealthy and overweight. So there'd probably be a [media] story about gestational diabetes, would probably have an image of somebody above a healthy weight or a, you know, the headless image where it just zooms in on somebody with fat rolls.","That whole image of people being unhealthy and overweight. So thered probably be a [media] story about gestational diabetes, would probably have an image of somebody above a healthy weight or a, you know, the headless image where it just zooms in on somebody with fat rolls."
"Just people not realising what it [GDM] is, and why people get it, rather than just thinking it's all just diet and exercise, which I think is probably similar to everyone just thinks of type 2 diabetes, and all the ads that we see on TV, that our children are all overweight, and there's an obesity epidemic. ","Just people not realising what it [GDM] is, and why people get it, rather than just thinking its all just diet and exercise, which I think is probably similar to everyone just thinks of type 2 diabetes, and all the ads that we see on TV, that our children are all overweight, and theres an obesity epidemic. "
"I feel like I'm not too bad at advocating for myself, but there wasn't even an opportunity… I went into my last appointment with the obstetrician and they just handed me a piece of paper and said this is your induction date. I was like ‘I didn't even know that was happening, you haven't even spoken to me about it’… I know they have an obligation to make sure no harm is done to the baby and that kind of thing, but yeah I still think should be able to make a bit more choice.","I feel like Im not too bad at advocating for myself, but there wasnt even an opportunity… I went into my last appointment with the obstetrician and they just handed me a piece of paper and said this is your induction date. I was like ‘I didnt even know that was happening, you havent even spoken to me about it’… I know they have an obligation to make sure no harm is done to the baby and that kind of thing, but yeah I still think should be able to make a bit more choice."
"Stop putting us all in a box. Stop thinking just about the numbers. We're still people. Just because we have a slightly higher risk of things going wrong doesn't mean things will go wrong, and you've [health professionals] got to stop thinking that things will go wrong and … pushing people into inductions, pushing people into things that they don't want or scaring people","Stop putting us all in a box. Stop thinking just about the numbers. Were still people. Just because we have a slightly higher risk of things going wrong doesnt mean things will go wrong, and youve [health professionals] got to stop thinking that things will go wrong and … pushing people into inductions, pushing people into things that they dont want or scaring people"
"They don't come across in a very caring and understanding way …. it just seems like some health professionals are very by-the-book. ‘This is what you need to do, and if you can't do it properly, then that's on you’, kind of thing.","They dont come across in a very caring and understanding way …. it just seems like some health professionals are very by-the-book. ‘This is what you need to do, and if you cant do it properly, then thats on you’, kind of thing."
"The hospitals have got different numbers [glucose targets], some people have to report their numbers every week, other people don't have to do anything with their numbers unless there's something that goes wrong… At my hospital, I've got GD, but if I was at your hospital, I wouldn't have GD, because my numbers are within those limits … reinforcing that 1 day, it's my fault, and then the next day, I wouldn't even have it. ","The hospitals have got different numbers [glucose targets], some people have to report their numbers every week, other people dont have to do anything with their numbers unless theres something that goes wrong… At my hospital, Ive got GD, but if I was at your hospital, I wouldnt have GD, because my numbers are within those limits … reinforcing that 1 day, its my fault, and then the next day, I wouldnt even have it. "
"Yeah, it's been a bit of a journey, thinking, ‘If I was in a different country, would I have got the same diagnosis?’ kind of thing.","Yeah, its been a bit of a journey, thinking, ‘If I was in a different country, would I have got the same diagnosis?’ kind of thing."
"I guess the frustration around the care across even the state of Queensland that we're in, the disparities … why aren't we being told the same thing across different states … different patients, different hospitals.","I guess the frustration around the care across even the state of Queensland that were in, the disparities … why arent we being told the same thing across different states … different patients, different hospitals."
"What I think is more harmful is the stereotype that the clinicians hold … you're a ‘high-risk’ patient and you're a patient, not a person, and that you need to be managed, not cared for. So, I can't help but engage with that narrative because I am hearing it at all my appointments.","What I think is more harmful is the stereotype that the clinicians hold … youre a ‘high-risk’ patient and youre a patient, not a person, and that you need to be managed, not cared for. So, I cant help but engage with that narrative because I am hearing it at all my appointments."
"As soon as I was diagnosed, well, as soon as I was labelled ‘high-risk’ because of my weight, it kind of stripped away the kind of birth that I wanted. And then gestational diabetes and hypertension and everything, I could feel any control I had over things slipping away….","As soon as I was diagnosed, well, as soon as I was labelled ‘high-risk’ because of my weight, it kind of stripped away the kind of birth that I wanted. And then gestational diabetes and hypertension and everything, I could feel any control I had over things slipping away…."
There's been a few times where I've had to test my sugars in public and I felt really embarrassed about doing that… Yeah I do feel like sometimes when I do test my sugars in public I get judged. ,Theres been a few times where Ive had to test my sugars in public and I felt really embarrassed about doing that… Yeah I do feel like sometimes when I do test my sugars in public I get judged. 
"I always felt embarrassed that—if we were out for dinner, I'd have to run into the bathroom and go have my insulin shot and then come back… I even said to my partner one day, oh, do you think anyone would mind if I just sat here and did the insulin in my stomach? I think I did it once, and I went, yeah, nah, I don't feel comfortable doing it. ","I always felt embarrassed that—if we were out for dinner, Id have to run into the bathroom and go have my insulin shot and then come back… I even said to my partner one day, oh, do you think anyone would mind if I just sat here and did the insulin in my stomach? I think I did it once, and I went, yeah, nah, I dont feel comfortable doing it. "
"And then this time around I'm old, advanced maternal age, …I felt like it was going to be a burden, is probably how I first felt… I think it just kind of added to feeling like my body wasn't going to be up to it.","And then this time around Im old, advanced maternal age, …I felt like it was going to be a burden, is probably how I first felt… I think it just kind of added to feeling like my body wasnt going to be up to it."
"I wonder if some people might've thought, oh, you are overweight, that's why you've got diabetes.","I wonder if some people mightve thought, oh, you are overweight, thats why youve got diabetes."
"I think it has changed over time … before now, I was thinking that it's people that are fat or they could eat too much that can have diabetes. So at least now I'm aware of it, I'm aware of the condition and aware that anybody can have it. ","I think it has changed over time … before now, I was thinking that its people that are fat or they could eat too much that can have diabetes. So at least now Im aware of it, Im aware of the condition and aware that anybody can have it. "
"There's a level of shame as well. Like you know, it's your fault. Which I know is not the case, but at the same time I still think there is that shame and embarrassment around it. So I think at the beginning I certainly felt that a lot, sort of trying to hide it in a way. But I don't think that shame completely goes away.","Theres a level of shame as well. Like you know, its your fault. Which I know is not the case, but at the same time I still think there is that shame and embarrassment around it. So I think at the beginning I certainly felt that a lot, sort of trying to hide it in a way. But I dont think that shame completely goes away."
"There was a bit of shame attached to it. …It's mostly the fact that being pregnant and having this is affecting my baby … it's that disheartening feeling that … when your health is affecting a whole new person, that's where it just feels like … you want them to have the best start, and you're just giving them a crap body to live in.","There was a bit of shame attached to it. …Its mostly the fact that being pregnant and having this is affecting my baby … its that disheartening feeling that … when your health is affecting a whole new person, thats where it just feels like … you want them to have the best start, and youre just giving them a crap body to live in."
